target_1,y_test_1,predicted_1,evja_temp_1,target_2,y_test_2,predicted_2,evja_temp_2,target_3,y_test_3,predicted_3,evja_temp_3,target_4,y_test_4,predicted_4,evja_temp_4,target_5,y_test_5,predicted_5,evja_temp_5,target_6,y_test_6,predicted_6,evja_temp_6,target_7,y_test_7,predicted_7,evja_temp_7
8.441,8.440999,4.3965693,7.4,8.554,8.554,3.7246242,7.4,8.5,8.5,4.822446,7.4,8.523,8.523,5.289396,7.4,8.539,8.5390005,6.056519,7.4,8.501,8.501,5.092751,7.4,8.526,8.526,5.1262755,7.4
2.592,2.5919998,2.743513,1.7,2.742,2.7419999,2.135093,1.7,2.815,2.815,3.5379307,1.7,2.707,2.7069998,4.1647205,1.7,3.681,3.681,4.738103,1.7,3.474,3.4739997,3.470217,1.7,4.177,4.1770005,3.5010006,1.7
1.153,1.1529999,1.2315866,0.5,1.238,1.2380002,1.563478,0.5,1.393,1.3930001,2.6119063,0.5,1.321,1.321,3.696902,0.5,2.618,2.618,3.8263166,0.5,2.535,2.5349998,2.1955917,0.5,2.893,2.8930004,2.6339204,0.5
1.391,1.3909998,1.0031735,0.6,1.428,1.428,0.9387223,0.6,1.478,1.478,1.7964523,0.6,1.298,1.298,2.2186513,0.6,2.531,2.531,2.4580457,0.6,2.393,2.393,1.6876314,0.6,2.888,2.8880002,1.9598281,0.6
-0.515,-0.515,0.030709907,-1.1,-0.483,-0.48299992,0.21779677,-1.1,-0.409,-0.40899995,0.78501993,-1.1,-0.594,-0.5939998,1.1399366,-1.1,1.079,1.0789999,1.5926443,-1.1,1.163,1.1630001,1.2480637,-1.1,1.727,1.727,1.3739538,-1.1
-0.126,-0.12599988,-0.27973944,-0.7,-0.317,-0.31699988,-0.19128923,-0.7,-0.074,-0.07399995,0.51950663,-0.7,-0.439,-0.43900004,0.6159267,-0.7,1.422,1.422,1.1250335,-0.7,1.534,1.5340002,0.9371818,-0.7,1.623,1.6230001,1.0203404,-0.7
-0.606,-0.60600007,0.43599027,-1.2,-0.522,-0.5220001,0.5070783,-1.2,-0.31,-0.30999997,1.4407276,-1.2,-0.422,-0.42200002,1.0324322,-1.2,0.823,0.823,1.8874384,-1.2,0.91,0.9100001,1.7209836,-1.2,1.257,1.2570001,1.5081346,-1.2
7.732,7.732,9.28525,5.9,8.321,8.320999,9.08212,5.9,7.856,7.856,9.856471,5.9,8.113,8.113,9.2643795,5.9,8.093,8.093001,9.618044,5.9,8.885,8.885,10.671506,5.9,9.808,9.808,9.285978,5.9
13.481,13.481,12.363429,14.4,14.078,14.078,11.180025,14.4,13.287,13.287001,12.180509,14.4,13.868,13.868,11.299898,14.4,14.865,14.865,10.259542,14.4,18.408,18.408,12.454065,14.4,16.627,16.627,12.01559,14.4
10.07,10.07,7.8323345,9.6,10.193,10.193,6.8969016,9.6,10.038,10.038001,7.729759,9.6,10.058,10.058001,7.7434425,9.6,10.566,10.566,8.306097,9.6,11.12,11.12,8.465636,9.6,11.257,11.257,8.700034,9.6
7.059,7.0589995,5.9207115,6.2,7.148,7.1479993,5.524051,6.2,6.954,6.9540005,6.325902,6.2,6.884,6.884,6.0860314,6.2,7.283,7.2830005,6.506523,6.2,7.255,7.2550006,6.549154,6.2,7.464,7.464,6.783424,6.2
6.574,6.574,6.0697174,5.9,6.607,6.607,6.0464334,5.9,6.547,6.5470004,6.3676496,5.9,6.498,6.4980006,6.5135264,5.9,6.936,6.936,6.7332153,5.9,6.973,6.9729996,6.724778,5.9,7.195,7.195,6.866704,5.9
6.838,6.838,6.3202624,6.0,6.909,6.908999,6.0487914,6.0,6.732,6.732,6.6680174,6.0,6.724,6.724001,6.717201,6.0,7.269,7.269,6.8137474,6.0,7.322,7.3220005,6.854495,6.0,7.522,7.522,7.005,6.0
