,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,target_1,y_test_1,predicted_1,evja_temp_1,target_2,y_test_2,predicted_2,evja_temp_2,target_3,y_test_3,predicted_3,evja_temp_3,target_4,y_test_4,predicted_4,evja_temp_4,target_5,y_test_5,predicted_5,evja_temp_5,target_6,y_test_6,predicted_6,evja_temp_6,target_7,y_test_7,predicted_7,evja_temp_7
84,84,84,84,84,84,84,13.111,13.111,23.865833,12.3,15.07,15.07,15.511488,14.5,5.886,5.886,19.403625,4.8,3.72,3.7200005,14.747703,2.6,13.454,13.454,14.190444,12.4,12.29,12.29,18.76376,11.5,25.948,25.948,14.619489,25.8
85,85,85,85,85,85,85,18.112,18.112001,18.559658,17.5,27.356,27.356,19.901863,27.3,14.37,14.37,14.762736,14.1,16.945,16.945,16.666544,16.2,8.029,8.029001,18.293001,6.5,19.807,19.807,17.37525,18.1,15.225,15.224999,23.687088,14.5
86,86,86,86,86,86,86,11.161,11.160999,14.73608,8.9,15.136,15.136,16.807343,14.1,29.04,29.04,23.19233,31.1,19.698,19.698,20.535315,19.4,13.808,13.808,18.35893,13.2,27.923,27.923,17.298395,26.4,4.639,4.639,18.015196,0.4
87,87,87,87,87,87,87,25.591,25.591,17.218616,25.6,26.804,26.804,10.781474,28.8,12.9,12.900001,18.017292,12.3,9.157,9.157,16.923937,7.9,21.167,21.167,23.291294,20.0,21.625,21.625002,19.428995,20.7,31.677,31.677002,17.803425,29.8
88,88,88,88,88,88,88,15.273,15.273,20.284674,14.7,15.357,15.357001,13.636618,14.6,25.617,25.617,21.372408,22.9,10.487,10.487001,15.761152,9.7,22.85,22.850002,17.754955,22.4,27.813,27.813002,20.23522,29.5,15.949,15.949,13.175145,14.9
89,89,89,89,89,89,89,19.555,19.554998,17.067335,19.0,3.638,3.6380002,5.5592976,2.6,14.475,14.475001,15.068802,14.0,15.834,15.834,17.826109,15.5,12.622,12.622,16.178219,12.4,13.422,13.422,17.459429,12.6,21.775,21.775,17.044868,21.5
90,90,90,90,90,90,90,14.777,14.777,19.649975,13.9,13.175,13.175001,16.69742,12.5,25.245,25.245,23.012651,22.4,23.952,23.952,22.397484,23.0,16.595,16.595,13.74044,15.9,15.845,15.844999,14.320176,14.6,15.886,15.885999,18.264174,14.9
91,91,91,91,91,91,91,23.623,23.622997,20.541775,23.5,28.597,28.597,14.268783,28.3,15.995,15.995,16.237722,15.4,17.961,17.960999,19.457241,17.4,22.657,22.657,13.65558,22.5,14.143,14.143,15.3088,13.1,16.908,16.908,25.463123,13.8
92,92,92,92,92,92,92,15.81,15.809999,15.326787,15.0,10.374,10.3740015,14.362413,8.8,14.855,14.855,18.357159,14.6,28.49,28.49,20.571457,30.3,18.586,18.586,13.149643,18.2,20.764,20.764002,18.377226,19.3,15.257,15.256999,22.410517,14.4
93,93,93,93,93,93,93,12.267,12.267,10.733509,11.3,19.502,19.502,17.088825,19.0,6.642,6.642,15.805466,5.9,7.688,7.688,18.159134,6.5,25.152,25.152,25.539572,23.9,14.936,14.936,17.905302,13.8,9.193,9.193001,16.300146,8.0
94,94,94,94,94,94,94,19.356,19.356,17.245384,18.2,7.743,7.7430005,15.670594,6.8,28.304,28.304,14.5547905,27.8,26.717,26.717,21.680765,26.6,25.949,25.949,23.11373,24.5,11.665,11.665,14.212705,9.5,22.474,22.474,19.44223,22.3
95,95,95,95,95,95,95,13.969,13.968999,15.954926,13.4,25.469,25.469,15.573939,24.2,5.468,5.468,11.309377,4.3,24.874,24.874,16.066349,23.9,15.766,15.765999,12.608526,15.2,9.145,9.145,18.213192,8.5,18.233,18.232998,14.114197,17.5
96,96,96,96,96,96,96,27.441,27.440996,20.800667,28.6,21.755,21.755,20.946796,20.4,23.901,23.901,17.894005,24.3,16.065,16.065,18.788298,15.1,9.637,9.637,24.236877,9.6,10.407,10.407,13.195804,9.0,32.961,32.961,16.280075,32.3
97,97,97,97,97,97,97,14.093,14.093,20.512081,13.5,24.683,24.683,10.869439,24.8,25.814,25.814,20.554283,25.6,13.464,13.464,12.4756155,12.8,10.432,10.432,12.067387,9.4,23.213,23.213001,19.29328,22.2,24.744,24.744001,18.133776,24.9
98,98,98,98,98,98,98,19.359,19.358997,21.26971,18.4,19.662,19.662,20.769083,19.1,16.183,16.183,17.456717,15.3,17.859,17.859001,19.247692,18.2,17.941,17.941,16.274878,16.9,5.313,5.313,14.85492,3.2,30.145,30.144999,14.150554,29.6
99,99,99,99,99,99,99,25.778,25.778,13.478784,25.4,8.926,8.926,13.356792,7.8,16.341,16.341,14.172723,15.8,22.6,22.6,17.857595,22.3,23.982,23.982,2.3149917,25.2,13.493,13.493,16.431705,12.6,20.877,20.876999,18.991814,20.1
100,100,100,100,100,100,100,11.266,11.266,8.20472,10.7,14.4,14.4,15.06983,13.7,6.872,6.8719997,13.865204,5.4,16.019,16.019,16.57172,15.4,17.422,17.422,15.64221,16.8,8.607,8.606999,13.594581,7.0,18.227,18.227,18.198853,17.2
